Хүйс,Аймаг,Код,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Бүгд,Улсын дүн,0,24.4,31.9,37.8,48.1,55.4,62.3,65.2,71.3,81.5,93.1,101.2,127.7,173,274.2,300.4,341.5,424.1,557.6,774.9,796.6,808,861.9,944.5,1002.9,1124.3,1220.6,1279.4,1503.8,1881.8,2332.4
Бүгд,Баруун бүс,1,,,,,,58.2,54,62.3,73.4,86.3,89.1,114.1,156.1,254.4,264.1,279.9,330.9,459.5,560.8,587.8,601.9,607.5,626.3,647.7,764,878.3,911.5,1020.7,1356.8,1887.2
Бүгд,Баян-Өлгий,183,,,,,,48.9,52.2,57.5,69.3,80.2,81.4,99.1,141.3,243,243.7,258.9,305.6,417.4,527.3,552.8,577.8,573.1,591,593.5,718.8,825,851.9,943.4,1247.2,1757.5
Бүгд,Говь-Алтай,182,,,,,,64.3,50.4,60.1,70.8,80.8,87.1,115.5,158.8,260.9,268.1,277.6,335,483.4,603.2,612.6,612.7,631.5,648.4,675,789.7,901.1,935.5,1029.6,1372.6,1932.3
Бүгд,Завхан,181,,,,,,50.7,52.9,63.2,71.9,84.7,90.9,123.4,166.3,258.2,273.3,290.8,356.6,499,604.6,593.8,596.4,620.3,634.8,665.8,789.2,916.6,932.8,1051.4,1441.4,1998.3
Бүгд,Увс,185,,,,,,51.5,55.9,66.5,76.7,89.9,87.6,114.6,152.2,269.4,267.8,294.5,340.4,449.8,576.4,585.1,603.4,604.2,623.1,640.9,763.1,870.9,905.4,1021.5,1372.2,1909.9
Бүгд,Ховд,184,,,,,,82.7,59.1,63,76.2,91.4,96.3,119.3,163.3,248.4,273.3,286.3,330.1,464.2,539.8,601.7,620.9,617.6,643.2,675.8,772.9,892.8,942.9,1067.1,1384.2,1897.5
Бүгд,Хангайн бүс,2,,,,,,55.4,60.3,65.6,79.7,92.2,103,126,167.9,267.7,292.2,322.1,400.4,550,626.1,741.9,743.9,763.8,767.8,828.4,967.9,1104,1157.3,1334.3,1719.2,2264.3
Бүгд,Архангай,265,,,,,,49.4,50.1,61.4,64.8,77.3,85.5,108.4,148.2,254.2,267.7,297,368.7,503.4,565.3,581.3,591.4,590.1,593.1,620.7,741.8,859.9,890.9,996.7,1337.1,1855.7
Бүгд,Баянхонгор,264,,,,,,50,62.5,62.2,74,84.7,88.1,107.2,152.8,257.3,270.6,297.8,380.9,505.7,565.5,588.5,602.9,610.9,623.5,656.5,776.2,863.3,912,1024.5,1353.2,1906.8
Бүгд,Булган,263,,,,,,42.3,56.3,65.3,74.7,93.2,103.3,116.6,155.4,270.3,305.8,311.5,395.8,528.6,621.6,583.6,607.8,612.1,638.8,652.1,767.8,857.4,902.2,1024.1,1396.4,1947
Бүгд,Орхон,261,,,,,,65.9,71.4,72.5,98.3,107,121.6,149,195.5,286.4,319.5,372.5,462.9,645.6,687.3,1022,1069.1,1124.3,1061.9,1216.4,1417.6,1628.3,1723.5,2013.8,2505.6,3104.6
Бүгд,Өвөрхангай,262,,,,,,57.1,47.2,67.4,66.3,87.2,93.6,113.1,146.8,256.5,276,298.1,364,495.5,587.5,572.9,578.2,598.6,631.5,653.1,777.5,891,919.7,1086.7,1413.7,1928.3
Бүгд,Хөвсгөл,267,,,,,,50.9,51.9,51.6,58.3,73,72.9,102,140.4,239.2,268.1,271,310.3,425.9,608.8,565.3,573.9,575.5,605.7,619.9,736.3,853.3,878.8,990.4,1300.5,1808.1
Бүгд,Төвийн бүс,3,,,,,,61.1,63.7,73.1,84.5,99.3,108,136,177.5,292,298.1,359.3,452,566.5,696.7,692.2,700.7,712.9,774.5,829.1,960.5,1088.7,1158.7,1403.7,1858.1,2360.6
Бүгд,Говьсүмбэр,342,,,,,,75.9,75.7,88.7,110.3,123.8,145.5,184.6,224.7,352.9,409.4,531.7,606.8,736.9,797.1,755.9,769,799.9,873.5,918,1052.8,1177,1271,1480.4,1885.5,2421.8
Бүгд,Дархан-Уул,345,,,,,,70.1,74.1,89,104.8,133.6,124.5,153.2,197.6,311.3,304.2,395.8,483.8,612.8,664.8,714.2,695.7,739.4,805.2,845.1,961.8,1078,1151.1,1308.5,1669,2139.7
Бүгд,Дорноговь,344,,,,,,40.3,61.5,51.4,64.6,74.9,83.9,115.3,146.5,253.4,278.1,303.2,359.8,488.6,643.6,739.6,755.6,779.3,839.1,895.5,1014.7,1131.9,1213.8,1383.2,1808,2318
Бүгд,Дундговь,348,,,,,,46.2,54.6,58.1,64.5,78.7,86.5,108.1,148.7,258.6,263.9,292,351.1,490.2,652,592.1,619.4,636.7,642.5,656.3,799.9,919.1,970.3,1095.5,1422.8,2036.1
Бүгд,Өмнөговь,346,,,,,,56.3,62.2,64.6,78.9,92.6,97.1,127.3,193.4,287.1,296.6,377.9,519.4,581.3,1031.9,785.1,801.3,750.7,857.7,933.9,1080.4,1220.3,1264.3,1748.5,2383.9,2824.5
Бүгд,Сэлэнгэ,343,,,,,,60.1,59.3,66.4,75.4,79.2,108.6,134.6,166.9,291.5,287.1,307.7,427.7,508.5,639.4,639.3,668.4,667.2,710.8,789,921.8,1043,1130.9,1315.9,1657.5,2228.8
Бүгд,Төв,341,,,,,,45,54.6,66.2,70.1,75.3,74.5,96,142.5,243.7,255.5,286.5,331.9,466.9,564.2,580.6,600,623.3,656.1,671,788.4,946.7,1000.5,1131.6,1497.6,2010.9
Бүгд,Зүүн бүс,4,,,,,,50.8,55.2,59.4,67,74.9,90,113.5,161.1,255.6,280.9,306.2,365.6,488.6,630,602.3,635,663,705.6,728.2,856.7,987,1042.3,1183.4,1576.7,2072.2
Бүгд,Дорнод,421,,,,,,46.4,52.5,59.3,60.6,69.6,96.2,122.4,168.4,275.4,310.9,332.2,413.3,559.3,642,633,688,712.2,778.9,780.1,894.5,1009.5,1070,1225.3,1647.3,2065.7
Бүгд,Сүхбаатар,422,,,,,,61,61.1,62.2,71.9,81.4,86,107.9,176,259.7,266.3,283.6,332.4,438.4,623.6,563.2,595.1,629.6,658.3,690.1,797.8,910.8,957.2,1095.7,1438.4,1986.4
Бүгд,Хэнтий,423,,,,,,47.2,53.1,55.9,68.8,75.1,83.8,105.1,125.7,195.5,222.1,252.7,297.4,386.7,615.7,598.4,605.3,628.7,652.7,694.7,854.9,1015.3,1071.7,1196.1,1594.2,2144.1
Бүгд,Улаанбаатар,5,,,,,,74.4,77.5,82,89.4,96.1,104,133.4,185.8,275.2,328.9,375,470.3,610.7,830.3,869.4,877.7,953.4,1062.4,1119.7,1232.2,1312.6,1370.7,1608.8,1970.7,2390.7
Бүгд,Улаанбаатар,511,,,,,,74.4,77.5,82,89.4,96.1,104,133.4,185.8,275.2,328.9,375,470.3,610.7,830.3,869.4,877.7,953.4,1062.4,1119.7,1232.2,1312.6,1370.7,1608.8,1970.7,2390.7
Эмэгтэй,Улсын дүн,0,,,,,,59.8,61,65.9,76,88,92.3,117.3,159.3,258.1,279.9,314.5,381.3,524.3,688.5,733.3,760.7,811,860.4,903.3,1021.3,1109.6,1163.1,1360.5,1651.9,2077.1
Эмэгтэй,Баруун бүс,1,,,,,,53.7,50,59.1,68.3,81.9,80.6,107.8,148.7,250.7,255.3,278.4,316.8,455.4,541.2,588.8,603.2,606.6,620.3,640.9,772.8,894.5,931.2,1049.4,1360.8,1906.4
Эмэгтэй,Баян-Өлгий,183,,,,,,41,47.8,52.6,63.3,71.3,63.5,94.3,135.6,247.7,229.3,250.6,268.3,400.5,496.3,541,563.3,559.4,575.3,577.3,715.3,837.4,870,976.1,1236,1737.2
Эмэгтэй,Говь-Алтай,182,,,,,,64.6,45.5,52.6,64.2,75.2,82.1,110.2,152.6,251.7,244.4,264.4,327,487.4,615.2,601.6,617,642.6,652.4,681.5,809.5,927.3,966.8,1081.6,1400.1,1972.9
Эмэгтэй,Завхан,181,,,,,,44.9,49.2,61.5,67.7,77.5,83.6,109.8,161.9,246.1,273,306,342.5,488.8,622.8,609.4,613.2,628.8,633.7,659.1,796.4,920.9,954.6,1078.1,1438,2024.1
Эмэгтэй,Увс,185,,,,,,42.6,52.1,61.7,67.8,86.6,75.9,106.3,134,265.4,257,284,332.2,427.8,525.3,597.3,610.9,604.1,622.5,644.7,784.5,890.6,929.5,1047.5,1372.6,1920.5
Эмэгтэй,Ховд,184,,,,,,88.8,56,62.5,78.4,90.5,91.5,116.6,156.9,249.3,278.6,294.9,325.1,482.2,523.8,599.6,615.3,610.3,629.4,657.4,774.6,910.7,951,1081.1,1397.6,1943.6
Эмэгтэй,Хангайн бүс,2,,,,,,51.7,56,60.4,76,88.3,95.4,120.7,156,258.8,283.8,314.6,380.5,526.5,587.9,654.8,670.6,682.6,692.9,731.5,863.5,991.1,1048.1,1197,1534.6,2049.1
Эмэгтэй,Архангай,265,,,,,,52.4,48.7,56.3,64.2,75.4,87.3,110.6,144,253.4,257.8,288.9,359,488.3,575.2,607.4,614.1,613.3,609.8,639.3,776,905.5,947.8,1058.5,1399.5,1920.7
Эмэгтэй,Баянхонгор,264,,,,,,44.1,59.3,58.5,72.2,79.6,88.6,108.8,148,249.4,264.9,289.2,372.2,504.2,567.7,606.3,619,624.7,634.5,662.6,795.7,884.9,948.7,1070.9,1383.3,1927.9
